#    L    TT             EE             BB             TE          
   188   0.541053E+04   0.750452E+00   0.122958E-01  -0.288113E+02
   189   0.542937E+04   0.742323E+00   0.124417E-01  -0.278322E+02
   190   0.544768E+04   0.734634E+00   0.125886E-01  -0.268277E+02
   191   0.546546E+04   0.727416E+00   0.127363E-01  -0.257979E+02
   192   0.548270E+04   0.720704E+00   0.128850E-01  -0.247429E+02
   193   0.549938E+04   0.714531E+00   0.130345E-01  -0.236631E+02
   194   0.551553E+04   0.708932E+00   0.131849E-01  -0.225588E+02
   195   0.553112E+04   0.703944E+00   0.133362E-01  -0.214304E+02
   196   0.554615E+04   0.699602E+00   0.134884E-01  -0.202783E+02
   197   0.556063E+04   0.695942E+00   0.136414E-01  -0.191027E+02
   198   0.557455E+04   0.693000E+00   0.137952E-01  -0.179041E+02
   199   0.558790E+04   0.690812E+00   0.139499E-01  -0.166828E+02
   200   0.560068E+04   0.689414E+00   0.141054E-01  -0.154392E+02
   201   0.561288E+04   0.688842E+00   0.142616E-01  -0.141737E+02
   202   0.562450E+04   0.689132E+00   0.144187E-01  -0.128867E+02
   203   0.563552E+04   0.690322E+00   0.145766E-01  -0.115786E+02
   204   0.564593E+04   0.692447E+00   0.147352E-01  -0.102498E+02
   205   0.565572E+04   0.695545E+00   0.148946E-01  -0.890082E+01
   206   0.566489E+04   0.699650E+00   0.150547E-01  -0.753201E+01
   207   0.567342E+04   0.704801E+00   0.152155E-01  -0.614377E+01
   208   0.568131E+04   0.711033E+00   0.153770E-01  -0.473668E+01
   209   0.568859E+04   0.718382E+00   0.155392E-01  -0.331128E+01
   210   0.569523E+04   0.726886E+00   0.157021E-01  -0.186813E+01
   211   0.570126E+04   0.736582E+00   0.158657E-01  -0.407788E+00
   212   0.570668E+04   0.747503E+00   0.160299E-01   0.106919E+01
   213   0.571149E+04   0.759688E+00   0.161948E-01   0.256226E+01
   214   0.571571E+04   0.773173E+00   0.163603E-01   0.407084E+01
   215   0.571932E+04   0.787989E+00   0.165263E-01   0.559437E+01
   216   0.572233E+04   0.804179E+00   0.166930E-01   0.713223E+01
   217   0.572472E+04   0.821773E+00   0.168602E-01   0.868382E+01
   218   0.572649E+04   0.840800E+00   0.170280E-01   0.102486E+02
   219   0.572765E+04   0.861306E+00   0.171963E-01   0.118260E+02
   220   0.572817E+04   0.883318E+00   0.173651E-01   0.134153E+02
   221   0.572808E+04   0.906867E+00   0.175344E-01   0.150160E+02
   222   0.572735E+04   0.931997E+00   0.177042E-01   0.166274E+02
   223   0.572599E+04   0.958729E+00   0.178744E-01   0.182489E+02
   224   0.572401E+04   0.987100E+00   0.180451E-01   0.198798E+02
   225   0.572141E+04   0.101713E+01   0.182163E-01   0.215195E+02
   226   0.571818E+04   0.104887E+01   0.183878E-01   0.231673E+02
   227   0.571434E+04   0.108234E+01   0.185597E-01   0.248225E+02
   228   0.570987E+04   0.111757E+01   0.187320E-01   0.264844E+02
   229   0.570478E+04   0.115459E+01   0.189046E-01   0.281524E+02
   230   0.569908E+04   0.119343E+01   0.190776E-01   0.298259E+02
   231   0.569276E+04   0.123411E+01   0.192508E-01   0.315040E+02
   232   0.568584E+04   0.127667E+01   0.194244E-01   0.331861E+02
   233   0.567831E+04   0.132112E+01   0.195982E-01   0.348715E+02
   234   0.567016E+04   0.136750E+01   0.197723E-01   0.365594E+02
   235   0.566141E+04   0.141583E+01   0.199466E-01   0.382492E+02
   236   0.565205E+04   0.146615E+01   0.201212E-01   0.399402E+02
   237   0.564210E+04   0.151846E+01   0.202959E-01   0.416315E+02
   238   0.563155E+04   0.157278E+01   0.204708E-01   0.433226E+02
   239   0.562041E+04   0.162914E+01   0.206458E-01   0.450126E+02
   240   0.560868E+04   0.168757E+01   0.208210E-01   0.467007E+02
   241   0.559636E+04   0.174808E+01   0.209963E-01   0.483863E+02
   242   0.558346E+04   0.181069E+01   0.211717E-01   0.500687E+02
   243   0.556999E+04   0.187542E+01   0.213471E-01   0.517470E+02
   244   0.555594E+04   0.194228E+01   0.215227E-01   0.534206E+02
   245   0.554133E+04   0.201130E+01   0.216982E-01   0.550888E+02
   246   0.552616E+04   0.208248E+01   0.218737E-01   0.567509E+02
