#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.166768E-04   0.197876E+08   0.197876E+08   0.263486E+08   0.263478E+08   0.197881E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473118E+00   0.104471E+08   0.104471E+08   0.821492E+01
   0.170988E-04   0.197876E+08   0.197876E+08   0.263468E+08   0.263460E+08   0.197881E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473118E+00   0.104471E+08   0.104471E+08   0.842262E+01
   0.175315E-04   0.197876E+08   0.197876E+08   0.263449E+08   0.263441E+08   0.197880E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473118E+00   0.104471E+08   0.104471E+08   0.863557E+01
   0.179751E-04   0.197876E+08   0.197876E+08   0.263429E+08   0.263420E+08   0.197880E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473118E+00   0.104471E+08   0.104471E+08   0.885388E+01
   0.184299E-04   0.197876E+08   0.197876E+08   0.263408E+08   0.263399E+08   0.197880E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473118E+00   0.104471E+08   0.104471E+08   0.907771E+01
   0.188962E-04   0.197876E+08   0.197876E+08   0.263386E+08   0.263377E+08   0.197880E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473118E+00   0.104471E+08   0.104471E+08   0.930718E+01
   0.193744E-04   0.197876E+08   0.197876E+08   0.263364E+08   0.263353E+08   0.197880E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473118E+00   0.104471E+08   0.104471E+08   0.954245E+01
   0.198646E-04   0.197876E+08   0.197876E+08   0.263339E+08   0.263329E+08   0.197880E+08   0.197876E+08   0.197876E+08   0.197942E+08  -0.473117E+00   0.104471E+08   0.104471E+08   0.978364E+01
   0.203673E-04   0.197875E+08   0.197875E+08   0.263314E+08   0.263303E+08   0.197880E+08   0.197876E+08   0.197875E+08   0.197942E+08  -0.473117E+00   0.104471E+08   0.104471E+08   0.100309E+02
   0.208826E-04   0.197875E+08   0.197875E+08   0.263287E+08   0.263276E+08   0.197880E+08   0.197875E+08   0.197875E+08   0.197942E+08  -0.473117E+00   0.104471E+08   0.104471E+08   0.102844E+02
   0.214110E-04   0.197875E+08   0.197875E+08   0.263259E+08   0.263247E+08   0.197880E+08   0.197875E+08   0.197875E+08   0.197942E+08  -0.473117E+00   0.104471E+08   0.104471E+08   0.105443E+02
   0.219528E-04   0.197875E+08   0.197875E+08   0.263230E+08   0.263217E+08   0.197879E+08   0.197875E+08   0.197875E+08   0.197942E+08  -0.473117E+00   0.104471E+08   0.104471E+08   0.108108E+02
   0.225083E-04   0.197875E+08   0.197875E+08   0.263199E+08   0.263185E+08   0.197879E+08   0.197875E+08   0.197875E+08   0.197942E+08  -0.473117E+00   0.104471E+08   0.104471E+08   0.110840E+02
   0.230778E-04   0.197875E+08   0.197875E+08   0.263166E+08   0.263152E+08   0.197879E+08   0.197875E+08   0.197875E+08   0.197942E+08  -0.473116E+00   0.104471E+08   0.104471E+08   0.113640E+02
   0.236618E-04   0.197875E+08   0.197875E+08   0.263132E+08   0.263117E+08   0.197879E+08   0.197875E+08   0.197875E+08   0.197942E+08  -0.473116E+00   0.104471E+08   0.104471E+08   0.116511E+02
   0.242605E-04   0.197875E+08   0.197875E+08   0.263096E+08   0.263080E+08   0.197879E+08   0.197875E+08   0.197875E+08   0.197942E+08  -0.473116E+00   0.104471E+08   0.104471E+08   0.119455E+02
   0.248744E-04   0.197875E+08   0.197875E+08   0.263058E+08   0.263041E+08   0.197879E+08   0.197875E+08   0.197875E+08   0.197941E+08  -0.473116E+00   0.104471E+08   0.104471E+08   0.122472E+02
   0.255038E-04   0.197875E+08   0.197875E+08   0.263018E+08   0.263001E+08   0.197878E+08   0.197875E+08   0.197875E+08   0.197941E+08  -0.473116E+00   0.104471E+08   0.104471E+08   0.125566E+02
   0.261491E-04   0.197875E+08   0.197875E+08   0.262977E+08   0.262958E+08   0.197878E+08   0.197875E+08   0.197875E+08   0.197941E+08  -0.473115E+00   0.104471E+08   0.104471E+08   0.128737E+02
   0.268108E-04   0.197875E+08   0.197875E+08   0.262933E+08   0.262913E+08   0.197878E+08   0.197875E+08   0.197875E+08   0.197941E+08  -0.473115E+00   0.104471E+08   0.104471E+08   0.131988E+02
   0.274892E-04   0.197875E+08   0.197875E+08   0.262886E+08   0.262866E+08   0.197878E+08   0.197875E+08   0.197875E+08   0.197941E+08  -0.473115E+00   0.104471E+08   0.104471E+08   0.135321E+02
   0.281848E-04   0.197875E+08   0.197875E+08   0.262838E+08   0.262816E+08   0.197878E+08   0.197875E+08   0.197875E+08   0.197941E+08  -0.473115E+00   0.104471E+08   0.104471E+08   0.138738E+02
   0.288980E-04   0.197875E+08   0.197874E+08   0.262787E+08   0.262764E+08   0.197877E+08   0.197875E+08   0.197875E+08   0.197941E+08  -0.473114E+00   0.104470E+08   0.104470E+08   0.142240E+02
   0.296292E-04   0.197874E+08   0.197874E+08   0.262733E+08   0.262710E+08   0.197877E+08   0.197874E+08   0.197874E+08   0.197941E+08  -0.473114E+00   0.104470E+08   0.104470E+08   0.145831E+02
   0.303789E-04   0.197874E+08   0.197874E+08   0.262677E+08   0.262652E+08   0.197877E+08   0.197874E+08   0.197874E+08   0.197941E+08  -0.473114E+00   0.104470E+08   0.104470E+08   0.149511E+02
   0.311476E-04   0.197874E+08   0.197874E+08   0.262618E+08   0.262591E+08   0.197877E+08   0.197874E+08   0.197874E+08   0.197941E+08  -0.473113E+00   0.104470E+08   0.104470E+08   0.153284E+02
   0.319358E-04   0.197874E+08   0.197874E+08   0.262555E+08   0.262528E+08   0.197876E+08   0.197874E+08   0.197874E+08   0.197940E+08  -0.473113E+00   0.104470E+08   0.104470E+08   0.157152E+02
   0.327438E-04   0.197874E+08   0.197874E+08   0.262490E+08   0.262461E+08   0.197876E+08   0.197874E+08   0.197874E+08   0.197940E+08  -0.473113E+00   0.104470E+08   0.104470E+08   0.161117E+02
   0.335724E-04   0.197874E+08   0.197874E+08   0.262421E+08   0.262391E+08   0.197876E+08   0.197874E+08   0.197874E+08   0.197940E+08  -0.473112E+00   0.104470E+08   0.104470E+08   0.165181E+02
   0.344219E-04   0.197874E+08   0.197874E+08   0.262349E+08   0.262317E+08   0.197875E+08   0.197874E+08   0.197874E+08   0.197940E+08  -0.473112E+00   0.104470E+08   0.104470E+08   0.169347E+02
   0.352929E-04   0.197874E+08   0.197874E+08   0.262273E+08   0.262239E+08   0.197875E+08   0.197874E+08   0.197874E+08   0.197940E+08  -0.473111E+00   0.104470E+08   0.104470E+08   0.173618E+02
   0.361859E-04   0.197873E+08   0.197873E+08   0.262193E+08   0.262158E+08   0.197875E+08   0.197873E+08   0.197873E+08   0.197940E+08  -0.473111E+00   0.104470E+08   0.104470E+08   0.177995E+02
   0.371015E-04   0.197873E+08   0.197873E+08   0.262109E+08   0.262072E+08   0.197874E+08   0.197873E+08   0.197873E+08   0.197939E+08  -0.473111E+00   0.104470E+08   0.104470E+08   0.182482E+02
   0.380404E-04   0.197873E+08   0.197873E+08   0.262021E+08   0.261982E+08   0.197874E+08   0.197873E+08   0.197873E+08   0.197939E+08  -0.473110E+00   0.104470E+08   0.104470E+08   0.187081E+02
   0.390029E-04   0.197873E+08   0.197873E+08   0.261928E+08   0.261887E+08   0.197873E+08   0.197873E+08   0.197873E+08   0.197939E+08  -0.473110E+00   0.104470E+08   0.104470E+08   0.191796E+02
   0.399898E-04   0.197873E+08   0.197873E+08   0.261831E+08   0.261788E+08   0.197873E+08   0.197873E+08   0.197873E+08   0.197939E+08  -0.473109E+00   0.104470E+08   0.104470E+08   0.196627E+02
   0.410017E-04   0.197873E+08   0.197873E+08   0.261729E+08   0.261683E+08   0.197872E+08   0.197873E+08   0.197873E+08   0.197939E+08  -0.473108E+00   0.104469E+08   0.104469E+08   0.201580E+02
   0.420392E-04   0.197872E+08   0.197872E+08   0.261621E+08   0.261574E+08   0.197872E+08   0.197872E+08   0.197872E+08   0.197938E+08  -0.473108E+00   0.104469E+08   0.104469E+08   0.206656E+02
   0.431029E-04   0.197872E+08   0.197872E+08   0.261508E+08   0.261458E+08   0.197871E+08   0.197872E+08   0.197872E+08   0.197938E+08  -0.473107E+00   0.104469E+08   0.104469E+08   0.211858E+02
   0.441936E-04   0.197872E+08   0.197872E+08   0.261389E+08   0.261337E+08   0.197871E+08   0.197872E+08   0.197872E+08   0.197938E+08  -0.473107E+00   0.104469E+08   0.104469E+08   0.217190E+02
   0.453119E-04   0.197872E+08   0.197872E+08   0.261264E+08   0.261209E+08   0.197870E+08   0.197872E+08   0.197872E+08   0.197938E+08  -0.473106E+00   0.104469E+08   0.104469E+08   0.222655E+02
   0.464584E-04   0.197872E+08   0.197871E+08   0.261133E+08   0.261075E+08   0.197870E+08   0.197871E+08   0.197871E+08   0.197937E+08  -0.473105E+00   0.104469E+08   0.104469E+08   0.228256E+02
   0.476340E-04   0.197871E+08   0.197871E+08   0.260996E+08   0.260935E+08   0.197869E+08   0.197871E+08   0.197871E+08   0.197937E+08  -0.473104E+00   0.104469E+08   0.104469E+08   0.233996E+02
   0.488393E-04   0.197871E+08   0.197871E+08   0.260851E+08   0.260787E+08   0.197868E+08   0.197871E+08   0.197871E+08   0.197937E+08  -0.473104E+00   0.104469E+08   0.104469E+08   0.239878E+02
   0.500751E-04   0.197871E+08   0.197871E+08   0.260699E+08   0.260631E+08   0.197868E+08   0.197871E+08   0.197871E+08   0.197936E+08  -0.473103E+00   0.104468E+08   0.104468E+08   0.245906E+02
   0.513422E-04   0.197870E+08   0.197870E+08   0.260539E+08   0.260468E+08   0.197867E+08   0.197870E+08   0.197870E+08   0.197936E+08  -0.473102E+00   0.104468E+08   0.104468E+08   0.252083E+02
   0.526413E-04   0.197870E+08   0.197870E+08   0.260371E+08   0.260297E+08   0.197866E+08   0.197870E+08   0.197870E+08   0.197936E+08  -0.473101E+00   0.104468E+08   0.104468E+08   0.258414E+02
   0.539733E-04   0.197870E+08   0.197870E+08   0.260195E+08   0.260117E+08   0.197865E+08   0.197870E+08   0.197870E+08   0.197935E+08  -0.473100E+00   0.104468E+08   0.104468E+08   0.264900E+02
   0.553390E-04   0.197869E+08   0.197869E+08   0.260009E+08   0.259927E+08   0.197864E+08   0.197869E+08   0.197869E+08   0.197935E+08  -0.473099E+00   0.104468E+08   0.104468E+08   0.271547E+02
   0.567393E-04   0.197869E+08   0.197869E+08   0.259815E+08   0.259729E+08   0.197864E+08   0.197869E+08   0.197869E+08   0.197935E+08  -0.473098E+00   0.104468E+08   0.104468E+08   0.278358E+02
   0.581750E-04   0.197869E+08   0.197869E+08   0.259610E+08   0.259520E+08   0.197863E+08   0.197869E+08   0.197869E+08   0.197934E+08  -0.473097E+00   0.104467E+08   0.104467E+08   0.285336E+02
   0.596471E-04   0.197868E+08   0.197868E+08   0.259395E+08   0.259300E+08   0.197862E+08   0.197868E+08   0.197868E+08   0.197934E+08  -0.473096E+00   0.104467E+08   0.104467E+08   0.292485E+02
   0.611563E-04   0.197868E+08   0.197868E+08   0.259169E+08   0.259070E+08   0.197861E+08   0.197868E+08   0.197868E+08   0.197933E+08  -0.473094E+00   0.104467E+08   0.104467E+08   0.299811E+02
   0.627038E-04   0.197867E+08   0.197867E+08   0.258932E+08   0.258828E+08   0.197859E+08   0.197867E+08   0.197867E+08   0.197933E+08  -0.473093E+00   0.104467E+08   0.104467E+08   0.307315E+02
