#    L    TT             EE             TE             PP             TP          
   245   0.555293E+04   0.197011E+01   0.552206E+02   0.215485E+07   0.172254E+04
   246   0.553783E+04   0.204099E+01   0.568953E+02   0.214554E+07   0.170866E+04
   247   0.552216E+04   0.211408E+01   0.585632E+02   0.213629E+07   0.169488E+04
   248   0.550595E+04   0.218937E+01   0.602237E+02   0.212711E+07   0.168119E+04
   249   0.548919E+04   0.226689E+01   0.618761E+02   0.211799E+07   0.166760E+04
   250   0.547189E+04   0.234664E+01   0.635196E+02   0.210893E+07   0.165409E+04
   251   0.545405E+04   0.242863E+01   0.651533E+02   0.209993E+07   0.164067E+04
   252   0.543567E+04   0.251286E+01   0.667766E+02   0.209099E+07   0.162733E+04
   253   0.541676E+04   0.259935E+01   0.683886E+02   0.208211E+07   0.161409E+04
   254   0.539733E+04   0.268810E+01   0.699884E+02   0.207329E+07   0.160093E+04
   255   0.537736E+04   0.277912E+01   0.715754E+02   0.206453E+07   0.158785E+04
   256   0.535687E+04   0.287240E+01   0.731487E+02   0.205583E+07   0.157487E+04
   257   0.533587E+04   0.296796E+01   0.747078E+02   0.204718E+07   0.156197E+04
   258   0.531437E+04   0.306578E+01   0.762516E+02   0.203860E+07   0.154915E+04
   259   0.529238E+04   0.316589E+01   0.777805E+02   0.203007E+07   0.153642E+04
   260   0.526992E+04   0.326827E+01   0.792924E+02   0.202159E+07   0.152377E+04
   261   0.524699E+04   0.337292E+01   0.807880E+02   0.201318E+07   0.151120E+04
   262   0.522361E+04   0.347984E+01   0.822657E+02   0.200481E+07   0.149872E+04
   263   0.519980E+04   0.358904E+01   0.837256E+02   0.199651E+07   0.148632E+04
   264   0.517555E+04   0.370050E+01   0.851662E+02   0.198826E+07   0.147401E+04
   265   0.515087E+04   0.381422E+01   0.865883E+02   0.198006E+07   0.146177E+04
   266   0.512577E+04   0.393017E+01   0.879896E+02   0.197192E+07   0.144962E+04
   267   0.510026E+04   0.404836E+01   0.893693E+02   0.196383E+07   0.143755E+04
   268   0.507434E+04   0.416876E+01   0.907283E+02   0.195579E+07   0.142555E+04
   269   0.504801E+04   0.429138E+01   0.920642E+02   0.194781E+07   0.141364E+04
   270   0.502128E+04   0.441618E+01   0.933779E+02   0.193988E+07   0.140181E+04
   271   0.499417E+04   0.454318E+01   0.946670E+02   0.193200E+07   0.139006E+04
   272   0.496667E+04   0.467233E+01   0.959324E+02   0.192417E+07   0.137839E+04
   273   0.493882E+04   0.480362E+01   0.971725E+02   0.191639E+07   0.136679E+04
   274   0.491060E+04   0.493705E+01   0.983882E+02   0.190866E+07   0.135528E+04
   275   0.488203E+04   0.507257E+01   0.995771E+02   0.190098E+07   0.134384E+04
   276   0.485314E+04   0.521017E+01   0.100740E+03   0.189335E+07   0.133248E+04
   277   0.482391E+04   0.534985E+01   0.101875E+03   0.188577E+07   0.132119E+04
   278   0.479437E+04   0.549156E+01   0.102983E+03   0.187824E+07   0.130999E+04
   279   0.476452E+04   0.563528E+01   0.104062E+03   0.187076E+07   0.129885E+04
   280   0.473439E+04   0.578097E+01   0.105113E+03   0.186332E+07   0.128780E+04
   281   0.470396E+04   0.592862E+01   0.106135E+03   0.185593E+07   0.127682E+04
   282   0.467326E+04   0.607819E+01   0.107127E+03   0.184859E+07   0.126591E+04
   283   0.464230E+04   0.622964E+01   0.108089E+03   0.184129E+07   0.125508E+04
   284   0.461107E+04   0.638297E+01   0.109019E+03   0.183404E+07   0.124432E+04
   285   0.457960E+04   0.653811E+01   0.109918E+03   0.182684E+07   0.123363E+04
   286   0.454790E+04   0.669506E+01   0.110786E+03   0.181968E+07   0.122302E+04
   287   0.451598E+04   0.685374E+01   0.111622E+03   0.181256E+07   0.121248E+04
   288   0.448384E+04   0.701415E+01   0.112425E+03   0.180549E+07   0.120202E+04
   289   0.445149E+04   0.717623E+01   0.113196E+03   0.179846E+07   0.119162E+04
   290   0.441896E+04   0.733996E+01   0.113932E+03   0.179147E+07   0.118130E+04
   291   0.438625E+04   0.750530E+01   0.114635E+03   0.178453E+07   0.117104E+04
   292   0.435336E+04   0.767212E+01   0.115304E+03   0.177763E+07   0.116086E+04
   293   0.432031E+04   0.784050E+01   0.115939E+03   0.177077E+07   0.115075E+04
   294   0.428711E+04   0.801036E+01   0.116538E+03   0.176395E+07   0.114071E+04
   295   0.425376E+04   0.818156E+01   0.117102E+03   0.175717E+07   0.113073E+04
   296   0.422028E+04   0.835417E+01   0.117631E+03   0.175043E+07   0.112083E+04
   297   0.418666E+04   0.852804E+01   0.118122E+03   0.174373E+07   0.111099E+04
   298   0.415294E+04   0.870316E+01   0.118577E+03   0.173707E+07   0.110122E+04
   299   0.411911E+04   0.887948E+01   0.118996E+03   0.173045E+07   0.109152E+04
   300   0.408518E+04   0.905690E+01   0.119377E+03   0.172387E+07   0.108189E+04
   301   0.405117E+04   0.923551E+01   0.119722E+03   0.171732E+07   0.107232E+04
   302   0.401709E+04   0.941508E+01   0.120029E+03   0.171082E+07   0.106282E+04
   303   0.398296E+04   0.959569E+01   0.120299E+03   0.170435E+07   0.105338E+04
   304   0.394878E+04   0.977726E+01   0.120532E+03   0.169791E+07   0.104401E+04
   305   0.391457E+04   0.995972E+01   0.120727E+03   0.169152E+07   0.103471E+04
   306   0.388033E+04   0.101431E+02   0.120884E+03   0.168516E+07   0.102547E+04
   307   0.384608E+04   0.103272E+02   0.121003E+03   0.167884E+07   0.101630E+04
   308   0.381183E+04   0.105120E+02   0.121084E+03   0.167255E+07   0.100719E+04
   309   0.377759E+04   0.106975E+02   0.121128E+03   0.166630E+07   0.998143E+03
   310   0.374336E+04   0.108835E+02   0.121133E+03   0.166009E+07   0.989163E+03
   311   0.370917E+04   0.110701E+02   0.121099E+03   0.165391E+07   0.980247E+03
   312   0.367500E+04   0.112572E+02   0.121028E+03   0.164776E+07   0.971394E+03
   313   0.364089E+04   0.114447E+02   0.120917E+03   0.164165E+07   0.962605E+03
   314   0.360684E+04   0.116325E+02   0.120768E+03   0.163557E+07   0.953879E+03
   315   0.357284E+04   0.118205E+02   0.120580E+03   0.162953E+07   0.945216E+03
   316   0.353893E+04   0.120088E+02   0.120354E+03   0.162353E+07   0.936616E+03
   317   0.350511E+04   0.121972E+02   0.120090E+03   0.161755E+07   0.928078E+03
   318   0.347139E+04   0.123857E+02   0.119787E+03   0.161161E+07   0.919602E+03
   319   0.343777E+04   0.125741E+02   0.119446E+03   0.160570E+07   0.911188E+03
   320   0.340427E+04   0.127626E+02   0.119066E+03   0.159983E+07   0.902835E+03
   321   0.337091E+04   0.129509E+02   0.118649E+03   0.159399E+07   0.894544E+03
